company_name,Annual Sales:,Company Type:,Corporate Family:,Corporate Highlights,D-U-N-S Number,D-U-N-S Number:,Domestic Ultimate D-U-N-S Number,EIN,Employees:,Fax:,Fiscal Year End:,Franchise,Home-Based Business,Import/Export Status,Incorporation Date,Industry:,Key ID Number:,LEI Number:,Manufacturer,Minority Owned,Owns/Rents,Parent D-U-N-S Number,Parent:,Plant/Facility Size (sq,Prescreen Score,Reporting Currency:,State Of Incorporation,Tel:,Total Assets:,Tradestyle,Ultimate Parent D-U-N-S Number,Ultimate Parent:,Women Owned,_id,address,contact,website
Ran Rob Investment Compan,112k,Private Independent,,, 178754557,17-875-4557,,,2 (This Site) 2 (All Sites),,,,,, 2005,Investment Services,192183480,,,, Rents,,,"{u' ft': {u')': u' 1,662'}}",,USD, California,,,,,,,5aacd4d89f9f5d042a8c1742,"401 Watt Ave Ste 3
Sacramento, California, 95864-7273
United States","[[{u'position': u'Principal at Ran Rob Investment Compan', u'industry': u'Investment Services', u'name': u'Ronald R Ricci', u'location': u'Sacramento, California, United States'}]]",
"Carlsen Investments, LLC",200k,Private Independent,,, 830336900,83-033-6900,,,2 (This Site) 2 (All Sites),,,,,, 2009,Investment Services,195210092,,,,,,,"{u' ft': {u')': u' 2,536'}}",,USD, California,,,,,,,5aacd4f29f9f5d042a8c1743,"8401 Jackson Rd
Sacramento, California, 95826-3904
United States","[[{u'position': u'Principal at Carlsen Investments, LLC', u'industry': u'Investment Services', u'name': u'James R Carlsen', u'location': u'Sacramento, California, United States'}]]",
Panayotakopoulos Investments L,213k,Private Independent,,, 780111592,78-011-1592,,,2 (This Site) 2 (All Sites),,,, True,, 2006,Investment Services,193147351,,,,,,,"{u' ft': {u')': u' 2,536'}}",,USD,,,,,,,,5aacd50c9f9f5d042a8c1744,"5321 K St
Sacramento, California, 95819-3929
United States","[[{u'position': u'Principal at Panayotakopoulos Investments L', u'industry': u'Investment Services', u'name': u'Kostas Panayotakopoulo', u'location': u'Sacramento, California, United States'}]]",
Capital Athletic Soccer,778k,Nonprofit Independent,,, 784821220,78-482-1220,, 383674697,2 (This Site) 2 (All Sites),,,,,, 2005,Investment Services,93744251,,,, Rents,,,"{u' ft': {u')': u' 2,264'}}",,USD, California,916-489-2272,,,,,,5aacd5279f9f5d042a8c1745,"3435 American River Dr
Sacramento, California, 95864-5796
United States","[[{u'position': u'Principal at Capital Athletic Soccer', u'industry': u'Investment Services', u'Main': u' 916-489-2272', u'name': u'Chris Vrame', u'location': u'Sacramento, California, United States'}]]",www.unionsacramentofc.org
Capital City Patrol,195k,Private Independent,,, 052803106,05-280-3106,,,2 (This Site) 2 (All Sites),,,, True,, 2012,Investment Services,182290406,,,,,,,"{u' ft': {u')': u' 2,536'}}",,USD,,916-395-8899,,,,,,5aacd5429f9f5d042a8c1746,"5601 28Th St
Sacramento, California, 95824-1001
United States",,
Chandi Investments Inc,176k,Private Independent,,, 013493898,01-349-3898,,,2 (This Site) 2 (All Sites),,,,,, 2010,Investment Services,183701789,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,,, DEN MARKET,,,,5aacd55b9f9f5d042a8c1747,"4231 Arden Way
Sacramento, California, 95864-3020
United States",,
"Central Valley Property Investment Company, A California Limited Partnership",66k,Private Independent,,, 014146951,01-414-6951,,,2 (This Site) 2 (All Sites),,,,,, 2010,Investment Services,196710073,,,,,,,"{u' ft': {u')': u' 2,536'}}",,USD, California,,,,,,,5aacd5739f9f5d042a8c1748,"2259 Erickson St
Sacramento, California, 95815-3207
United States","[[{u'position': u'Principal at Central Valley Property Investment Company, A California Limited Partnership', u'industry': u'Investment Services', u'name': u'Peter Kwett', u'location': u'Sacramento, California, United States'}]]",
"First Western Investments, A California Limited Partnership",81k,Private Independent,,, 014141614,01-414-1614,,,2 (This Site) 2 (All Sites),,,,,, 2010,Investment Services,196023838,,,,,,,"{u' ft': {u')': u' 2,536'}}",,USD, California,,,,,,,5aacd58d9f9f5d042a8c1749,"800 Howe Ave Ste 160
Sacramento, California, 95825-3965
United States","[[{u'position': u'Principal at First Western Investments, A California Limited Partnership', u'industry': u'Investment Services', u'name': u'David E Thielen', u'location': u'Sacramento, California, United States'}]]",
Capital Care Dentistry,120k,Private Independent,,, 003631552,00-363-1552,,,2 (This Site) 2 (All Sites),916-481-9702,,,,, 2013,Investment Services,84135031,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-481-4242,,,,,,5aacd5a79f9f5d042a8c174a,"2628 El Camino Ave Ste C10
Sacramento, California, 95821-5925
United States","[[{u'position': u'Principal at Capital Care Dentistry', u'industry': u'Investment Services', u'Main': u' 916-481-4242', u'name': u'John R Anderson', u'location': u'Sacramento, California, United States'}]]",www.sacramentodentist.com
Wahdy & Altahan Financial,94k,Private Independent,,, 085951847,08-595-1847,,,2 (This Site) 2 (All Sites),,,,,, 2015,Investment Services,191456492,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,,,,,,,5aacd5c29f9f5d042a8c174b,"2255 Watt Ave Ste 325
Sacramento, California, 95825-0576
United States",,
"Cbre Group, Inc.",,Private Branch,756 Companies,, 016033593,01-603-3593, 617608104, 943391143,2 (This Site),,,,,,,Investment Services,197111324,,,, Rents, 617608104,"Cbre Group, Inc.","{u' ft': {u')': u' 1,679'}}",,,,916-444-2237,,, 617608104,,,5aacd5da9f9f5d042a8c174c,"915 L St
Sacramento, California, 95814-3700
United States","[[{u'name': u'Chris Campbell', u'industry': u'Investment Services', u'Direct': u' 916-446-8760', u'location': u'Sacramento, California, United States', u'position': u'Executive Vice President at Cbre Group, Inc.', u'Main': u' 916-444-2237'}], [{u'position': u'Senior Vice President at Cbre Group, Inc.', u'industry': u'Investment Services', u'Main': u' 916-444-2237', u'name': u'Leslie Duchene', u'location': u'Sacramento, California, United States'}], [{u'position': u'Senior Vice President at Cbre Group, Inc.', u'industry': u'Investment Services', u'Main': u' 916-444-2237', u'name': u'Eli Mills', u'location': u'Sacramento, California, United States'}], [{u'position': u'Senior Vice President at Cbre Group, Inc.', u'industry': u'Investment Services', u'Main': u' 916-444-2237', u'name': u'Scott Muller', u'location': u'Sacramento, California, United States'}], [{u'name': u'Dave Headstream', u'industry': u'Investment Services', u'Direct': u' 602-735-1971', u'location': u'Sacramento, California, United States', u'position': u'First Vice President at Cbre Group, Inc.', u'Main': u' 916-444-2237'}], [{u'position': u'Vice President at Cbre Group, Inc.', u'industry': u'Investment Services', u'Main': u' 916-444-2237', u'name': u'Anthony Mash', u'location': u'Sacramento, California, United States'}], [{u'name': u'Michael Stassi', u'industry': u'Investment Services', u'Direct': u' 916-446-8264', u'location': u'Sacramento, California, United States', u'position': u'First Vice President at Cbre Group, Inc.', u'Main': u' 916-444-2237'}], [{u'position': u'Vice President, based in Walnut Creek at Cbre Group, Inc.', u'industry': u'Investment Services', u'Main': u' 916-444-2237', u'name': u'Brian Mirkovich', u'location': u'Sacramento, California, United States'}], [{u'position': u'First Vice President VAS at Cbre Group, Inc.', u'industry': u'Investment Services', u'Main': u' 916-444-2237', u'name': u'Donna Whitaker', u'location': u'Sacramento, California, United States'}], [{u'name': u'Dan Rose', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Director of Development and Leasing at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' daniel.rose@cbre.com'}], [{u'name': u'Sarah Madewell', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Senior Real Estate Manager at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' sarah.madewell@cbre.com'}], [{u'name': u'Edwienna Watts', u'industry': u'Investment Services', u'Direct': u' 916-446-8751', u'location': u'Sacramento, California, United States', u'position': u'Assistant Real Estate Manager at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' e.watts@cbre.com'}], [{u'name': u'Jack Depuy', u'industry': u'Investment Services', u'Direct': u' 916-446-8286', u'location': u'Sacramento, California, United States', u'position': u'Research Manager at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' j.depuy@cbre.com'}], [{u'name': u'Sue Fowler', u'industry': u'Investment Services', u'Direct': u' 916-781-4891', u'location': u'Sacramento, California, United States', u'position': u'Team Manager at Cbre Group, Inc.', u'Main': u' 916-444-2237'}], [{u'name': u'Kimberly Dunlap', u'industry': u'Investment Services', u'Direct': u' 916-446-8254', u'location': u'Sacramento, California, United States', u'position': u'Client Services Specialist at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' kim.dunlap@cbre.com'}], [{u'name': u'Brett Edwards', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Real Estate Broker at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' b_edwards@cbre.com'}], [{u'name': u'Sam Orlando', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Associate Broker at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' sam.orlando@cbre.com'}], [{u'position': u'Sales Associate at Cbre Group, Inc.', u'industry': u'Investment Services', u'Main': u' 916-444-2237', u'name': u'Mike Sotelo', u'location': u'Sacramento, California, United States'}], [{u'name': u'Laura Wilson', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Associate Broker at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' l.wilson@cbre.com'}], [{u'position': u'Associate Broker at Cbre Group, Inc.', u'industry': u'Investment Services', u'Main': u' 916-444-2237', u'name': u'Stuart Wright', u'location': u'Sacramento, California, United States'}], [{u'position': u'Senior Marketing Specialist at Cbre Group, Inc.', u'industry': u'Investment Services', u'Main': u' 916-444-2237', u'name': u'Hal Milliken', u'location': u'Sacramento, California, United States'}], [{u'name': u'Garrett Doris', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Researcher at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' garrett.doris@cbre.com'}], [{u'name': u'Reechael Gutierrez', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Researcher at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' reechael.gutierrez@cbre.com'}], [{u'name': u'Patrick Benoist', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Production Analyst at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' patrick.benoist@cbre.com'}], [{u'name': u'James J White', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Expert Witness at Cbre Group, Inc.', u'Main': u' 916-444-2237', u'Email': u' james.j.white@cbre.com'}]]",www.cbre.com
"Solar Gurus, Inc.",46k,Private Independent,,, 081001095,08-100-1095,,,2 (This Site) 2 (All Sites),,,,,, 2015,Computer Programming,278869937,,,,,,,"{u' ft': {u')': u' 2,218'}}",,USD,,916-701-3934,,,,,,5aacd60c9f9f5d042a8c174d,"500 Capitol Mall Rm 2530
Sacramento, California, 95814-4737
United States",,
"A and B Capital Partners, LLC",85k,Private Independent,,, 010105566,01-010-5566,,,2 (This Site) 2 (All Sites),,,, True,, 2010,Investment Services,185777890,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,,,,,,,5aacd6259f9f5d042a8c174e,"725 45th St
Sacramento, California, 95819-3123
United States","[[{u'position': u'Management at A and B Capital Partners, LLC', u'industry': u'Investment Services', u'name': u'Merle Shields', u'location': u'Sacramento, California, United States'}]]",
"Partagas Investments, LLC",80k,Private Independent,,, 023985015,02-398-5015,,,2 (This Site) 2 (All Sites),,,, True,, 2013,Investment Services,186960215,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-996-7879,,,,,,5aacd63f9f9f5d042a8c174f,"3745 Clubside Ln
Sacramento, California, 95835-2008
United States",,
"Center City Investment, Fong Venture I, A California Limited Partnership",86k,Private Independent,,, 017367943,01-736-7943,,,2 (This Site) 2 (All Sites),,,, True,, 2013,Investment Services,186369233,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD, California,,,,,,,5aacd6589f9f5d042a8c1750,"7387 Marani Way
Sacramento, California, 95831-4504
United States","[[{u'position': u'Management at Center City Investment, Fong Venture I, A California Limited Partnership', u'industry': u'Investment Services', u'name': u'Leung S Fong', u'location': u'Sacramento, California, United States'}]]",
"Capital City Development, Inc.",115k,Private Independent,,, 062092210,06-209-2210,,,2 (This Site) 2 (All Sites),,,,,, 2012,Investment Services,101621453,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,,,,,,,5aacd6729f9f5d042a8c1751,"1725 Capitol Ave
Sacramento, California, 95811-5103
United States","[[{u'position': u'Principal at Capital City Development, Inc.', u'industry': u'Investment Services', u'name': u'Sara M Lebastchi', u'location': u'Sacramento, California, United States'}]]",
James Collins,143k,Private Independent,,, 075395968,07-539-5968,,,2 (This Site) 2 (All Sites),,,, True,, 2015,Investment Services,190620721,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-365-7441,,,,,,5aacd6959f9f5d042a8c1752,"7472 Chatterton Way
Sacramento, California, 95829-1188
United States",,
Golden One Investment Group LL,124k,Private Independent,,, 027027992,02-702-7992,,,2 (This Site) 2 (All Sites),,,,,, 2015,Investment Services,187207248,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-410-1000,,,,,,5aacd6a99f9f5d042a8c1753,"912 Enterprise Dr
Sacramento, California, 95825-3902
United States",,
Sheba Investments,88k,Private Independent,,, 073101451,07-310-1451,,,2 (This Site) 2 (All Sites),,,,,, 2017,Investment Services,271197961,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD, California,,,,,,,5aacd6bd9f9f5d042a8c1754,"4500 Truxel Rd Apt 1112
Sacramento, California, 95834-3742
United States",,
Seemar Properties LLC,111k,Partnership Independent,,, 078624995,07-862-4995,,,2 (This Site) 2 (All Sites),,,, True,, 2012,Investment Services,190779083,,,,,,,,,USD,,916-538-4116,,,,,,5aacd6d19f9f5d042a8c1755,"Sacramento, California, 95834
United States",,
Tnc Consulting,108k,Private Independent,,, 166127824,16-612-7824,,,2 (This Site) 2 (All Sites),,,,,, 2004,Computer Programming,121030888,,,,,,,"{u' ft': {u')': u' 1,873'}}",,USD,,916-612-7824,,,,,,5aacd6e59f9f5d042a8c1756,"2831 G St
Sacramento, California, 95816-3783
United States",,
Ecoplanet Landscape and Maintenance Services,55k,Private Independent,,, 081952575,08-195-2575,,,2 (This Site) 2 (All Sites),,,,,, 2015,Internet and Web Services,191335249,,,,,,,"{u' ft': {u')': u' 2,184'}}",,USD,,916-571-5587,,,,,,5aacd6f99f9f5d042a8c1757,"1105 Carmelita Ave
Sacramento, California, 95838-4405
United States",,
"Geryon Ventures, LLC",140k,Private Independent,,, 078840301,07-884-0301,,,2 (This Site) 2 (All Sites),,,, True,, 2013,Investment Services,190821635,,,,,,,"{u' ft': {u')': u' 2,536'}}",,USD, California,916-705-1279,,,,,,5aacd70d9f9f5d042a8c1758,"7006 Sutter Oak Ct
Sacramento, California, 95842-2108
United States",,
Milestone Capital LLC,180k,Private Independent,,, 062977132,06-297-7132,,,2 (This Site) 2 (All Sites),,,,,, 2001,Investment Services,189938934,,,, Rents,,,"{u' ft': {u')': u' 1,638'}}",,USD, California,916-920-3911,,,,,,5aacd7209f9f5d042a8c1759,"60 Main Ave
Sacramento, California, 95838-2034
United States","[[{u'position': u'Manager at Milestone Capital LLC', u'industry': u'Investment Services', u'Main': u' 916-920-3911', u'name': u'Steven H Markstein', u'location': u'Sacramento, California, United States'}]]",
Crown Point Financial Group Inc.,167k,Private Independent,,, 054537222,05-453-7222,,,2 (This Site) 2 (All Sites),,,,,, 2013,Investment Services,189270945,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-488-1000,,,,,,5aacd7369f9f5d042a8c175a,"8250 Calvine Rd Ste C310
Sacramento, California, 95828-9313
United States",,
Pina's Investments LLC,150k,Private Independent,,, 012940676,01-294-0676,,,2 (This Site) 2 (All Sites),,,, True,, 2010,Investment Services,186015036,,, True,,,,"{u' ft': {u')': u' 2,536'}}",,USD,,916-838-5794,,,,,,5aacd74b9f9f5d042a8c175b,"390 Anjou Cir
Sacramento, California, 95835-2053
United States","[[{u'position': u""Principal at Pina's Investments LLC"", u'industry': u'Investment Services', u'Main': u' 916-838-5794', u'name': u'Michaeh A Pina', u'location': u'Sacramento, California, United States'}]]",
Clearview Financial LLC,195k,Private Independent,,, 884200721,88-420-0721,,,2 (This Site) 2 (All Sites),,,,,, 2008,Investment Services,182991877,,,,,,,"{u' ft': {u')': u' 2,536'}}",,USD,,916-203-7487,,,,,,5aacd7609f9f5d042a8c175c,"10157 Clover Ranch Dr
Sacramento, California, 95829-6574
United States","[[{u'position': u'Owner at Clearview Financial LLC', u'industry': u'Investment Services', u'Main': u' 916-203-7487', u'name': u'Suzanne Banzet', u'location': u'Sacramento, California, United States'}]]",www.clearviewinvest.net
Capital City Investments LLC,83k,Private Independent,,, 007992681,00-799-2681,,,2 (This Site) 2 (All Sites),,,,,, 2016,Investment Services,195323335,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD, California,916-943-5437,,,,,,5aacd7769f9f5d042a8c175d,"4366 Auburn Blvd Ste 113
Sacramento, California, 95841-4107
United States",,
Akamaii Investments LLC,80k,Private Independent,,, 037400218,03-740-0218,,,2 (This Site) 2 (All Sites),,,,,, 2013,Investment Services,274249236,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,,,,,,,5aacd78c9f9f5d042a8c175e,"8391 Folsom Blvd Ste 7
Sacramento, California, 95826-3553
United States",,
"Frey Investments, LLC",97k,Private Independent,,, 065293563,06-529-3563,,,2 (This Site) 2 (All Sites),,,,,, 2014,Investment Services,205099281,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,,,,,,,5aacd7a09f9f5d042a8c175f,"600 Morris Way
Sacramento, California, 95864-6175
United States",,
"Ascension Homes, LLC",89k,Private Independent,,, 080407334,08-040-7334,,,2 (This Site) 2 (All Sites),,,,,, 2016,Investment Services,196272330,,,,,,,"{u' ft': {u')': u' 2,536'}}",,USD, California,916-287-0722,,,,,,5aacd7b39f9f5d042a8c1760,"3053 Freeport Blvd
Sacramento, California, 95818-4346
United States",,
Diamond Life Investments LLC,174k,Private Independent,,, 011950796,01-195-0796,,,2 (This Site) 2 (All Sites),,,, True,, 2008,Investment Services,121012126,,,,,,,"{u' ft': {u')': u' 2,536'}}",,USD,,916-833-1443,,,,,,5aacd7c89f9f5d042a8c1761,"389 Dragonfly Cir
Sacramento, California, 95834-2612
United States",,
"Capital Fuel Service, Inc.",100k,Private Independent,,, 086001298,08-600-1298,,,2 (This Site) 2 (All Sites),,,, True,, 2015,Investment Services,183472462,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-422-2933,,,,,,5aacd7dc9f9f5d042a8c1762,"3916 Deer Run Way
Sacramento, California, 95823-6009
United States",,
Navneal Corp,154k,Private Independent,,, 020058754,02-005-8754,,,2 (This Site) 2 (All Sites),,, True,,, 2008,Investment Services,186592889,,,,,,,"{u' ft': {u')': u' 2,941'}}",,USD,,916-595-2145,, CAPITAL MARKET,,,,5aacd7f09f9f5d042a8c1763,"8240 Bedford Cove Way
Sacramento, California, 95828-6164
United States",,
LBT Investors LLC,97k,Private Independent,,, 086367460,08-636-7460,,,2 (This Site) 2 (All Sites),,,,,, 2017,Investment Services,231750417,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD, South Dakota,,,,,,,5aacd8049f9f5d042a8c1764,"1825 Bell St Ste 100
Sacramento, California, 95825-1020
United States",,
Capital Financial Services,316k,Private Independent,,, 884780487,88-478-0487,,,2 (This Site) 2 (All Sites),916-344-7087,,,,, 1982,Investment Services,90183215,,,, Owns,,,"{u' ft': {u')': u' 2,267'}}",,USD,,916-344-7884,,,,,,5aacd8189f9f5d042a8c1765,"5301 Madison Ave Ste 302
Sacramento, California, 95841-3146
United States","[[{u'position': u'President at Capital Financial Services', u'industry': u'Investment Services', u'Main': u' 916-344-7884', u'name': u'Robert Pegos', u'location': u'Sacramento, California, United States'}], [{u'position': u'BUSINESS OWNER at Capital Financial Services', u'industry': u'Investment Services', u'Main': u' 916-344-7884', u'name': u'Chris Hutchinson', u'location': u'Sacramento, California, United States'}], [{u'position': u'Owner at Capital Financial Services', u'industry': u'Investment Services', u'Main': u' 916-344-7884', u'name': u'Gregg Smith', u'location': u'Sacramento, California, United States'}], [{u'name': u'Brett Nesdahl', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Registered Principal at Capital Financial Services', u'Main': u' 916-344-7884', u'Email': u' bnesdahl@cfsbd.com'}], [{u'name': u'Don Waage', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Business And Product Development Manager at Capital Financial Services', u'Main': u' 916-344-7884', u'Email': u' dwaage@cfsbd.com'}]]",
Nss Northgate Investors LP,144k,Private Independent,,, 059907627,05-990-7627,,,2 (This Site) 2 (All Sites),,,,,, 2010,Investment Services,93793995,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-646-9800,, National Self Storage - SAC7,,,,5aacd82f9f9f5d042a8c1766,"660 Garden Hwy
Sacramento, California, 95833-3430
United States","[[{u'name': u'Travis Morrow', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Vice President at Nss Northgate Investors LP', u'Main': u' 916-646-9800', u'Email': u' tmorrow@nationalselfstorage.com'}]]",www.nationalselfstorage.com
"Pw Prime, LLC",80k,Private Independent,,, 080945112,08-094-5112,,,2 (This Site) 2 (All Sites),,,,,, 2017,Investment Services,275843318,,, True,,,,"{u' ft': {u')': u' 2,536'}}",,USD, Utah,916-827-1594,,,,,,5aacd8479f9f5d042a8c1767,"3609 Bradshaw Rd Ste H-322
Sacramento, California, 95827-3275
United States",,
2135 Butano Sacramento Investments LLC,94k,Private Independent,,, 016912871,01-691-2871,,,2 (This Site) 2 (All Sites),,,,,, 2017,Investment Services,278721010,,,,,,,,,USD,,916-481-2172,,,,,,5aacd85c9f9f5d042a8c1768,"2135 Butano Dr
Sacramento, California, 95825-0447
United States",,
Prudential Investment Properties,151k,Private Independent,,, 040668679,04-066-8679,,,2 (This Site) 2 (All Sites),,,,,, 2012,Investment Services,124137091,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-483-4636,,,,,,5aacd8709f9f5d042a8c1769,"4661 Orange Grove Ave
Sacramento, California, 95841-4255
United States",,
Salimi Investments,80k,Private Independent,,, 036648147,03-664-8147,,,2 (This Site) 2 (All Sites),,,, True,, 2016,Investment Services,278885324,,,,,,,,,USD,,916-868-3820,,,,,,5aacd88a9f9f5d042a8c176a,"1760 Baines Ave
Sacramento, California, 95835-1221
United States",,
Capital Woodcarvers Association,141k,Private Independent,,, 057141556,05-714-1556,, 943042189,2 (This Site) 2 (All Sites),,,, True,, 2012,Investment Services,189490252,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-359-8891,,,,,,5aacd89e9f9f5d042a8c176b,"2212 Avalon Dr
Sacramento, California, 95864-0728
United States","[[{u'position': u'Principal at Capital Woodcarvers Association', u'industry': u'Investment Services', u'Main': u' 916-359-8891', u'name': u'Nelson Krouse', u'location': u'Sacramento, California, United States'}]]",www.capitalwoodcarvers.com
"Capitol Investment and Services Group, LLC",84k,Private Independent,,, 063197270,06-319-7270,,,2 (This Site) 2 (All Sites),,,,,, 2016,Investment Services,195621124,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD, California,916-553-4111,,,,,,5aacd8b49f9f5d042a8c176c,"1401 11Th Ave
Sacramento, California, 95818-4119
United States",,
Terminal Investors LLC,129k,Private Independent,,, 837086003,83-708-6003,,,2 (This Site) 2 (All Sites),,,, True,, 2008,Investment Services,193528940,,,,,,,"{u' ft': {u')': u' 2,536'}}",,USD, California,,,,,,,5aacd8c89f9f5d042a8c176d,"4623 American River Dr
Sacramento, California, 95864-6105
United States","[[{u'position': u'Principal at Terminal Investors LLC', u'industry': u'Investment Services', u'name': u'Kevin M Jasper', u'location': u'Sacramento, California, United States'}]]",
Sheridan 883 Investors LLC,108k,Private Independent,,, 160616202,16-061-6202,,,2 (This Site) 2 (All Sites),,,,,, 2004,Investment Services,192046353,,,, Rents,,,"{u' ft': {u')': u' 1,662'}}",,USD,,,,,,,,5aacd8dd9f9f5d042a8c176e,"1121 18Th St
Sacramento, California, 95811-4265
United States","[[{u'position': u'Manager / mbr, Partner at Sheridan 883 Investors LLC', u'industry': u'Investment Services', u'name': u'Jack A Sioukas', u'location': u'Sacramento, California, United States'}]]",
Lee Tsai Investments LLC,94k,Private Independent,,, 067004852,06-700-4852,,,2 (This Site) 2 (All Sites),,,, True,, 2015,Investment Services,253656795,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-427-2579,,,,,,5aacd8f39f9f5d042a8c176f,"6 Swan River Ct
Sacramento, California, 95831-2550
United States","[[{u'position': u'Principal at Lee Tsai Investments LLC', u'industry': u'Investment Services', u'Main': u' 916-427-2579', u'name': u'An-Shyang Tsai', u'location': u'Sacramento, California, United States'}]]",
Es RE Investments,80k,Private Independent,,, 024964109,02-496-4109,,,2 (This Site) 2 (All Sites),,,,,, 2016,Investment Services,253766707,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD, California,949-467-4966,,,,,,5aacd9099f9f5d042a8c1770,"3424 Pageant Dr
Sacramento, California, 95826-4544
United States",,
Larkspur Communities,207k,Private Independent,,, 005675903,00-567-5903,,,2 (This Site) 2 (All Sites),,,,,, 2008,Investment Services,108093010,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-973-9038,,,,,,5aacd91e9f9f5d042a8c1771,"2525 Larkspur Ln
Sacramento, California, 95825-4265
United States","[[{u'position': u'General Manager at Larkspur Communities', u'industry': u'Investment Services', u'Main': u' 916-973-9038', u'name': u'Heather Walker', u'location': u'Sacramento, California, United States'}]]",
Sac Global Marketing Group,140k,Private Independent,,, 048169617,04-816-9617,,,2 (This Site) 2 (All Sites),,,,,, 2010,Investment Services,171269713,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-271-8309,,,,,,5aacd9339f9f5d042a8c1772,"8812 Clonmel Ct
Sacramento, California, 95828-6108
United States",,www.globalinvacom.com
Reliance Investment Group,140k,Private Independent,,, 048186471,04-818-6471,,,2 (This Site) 2 (All Sites),,,, True,, 2010,Investment Services,188722683,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,916-600-5995,,,,,,5aacd9479f9f5d042a8c1773,"3540 Buena Vista Dr
Sacramento, California, 95864-2804
United States","[[{u'name': u'Patt Levy', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Principal at Reliance Investment Group', u'Main': u' 916-600-5995', u'Email': u' plevy@reliance-financial.com'}]]",
Stockton Gardens Investment Company,99k,Private Independent,,, 050719124,05-071-9124,,,2 (This Site) 2 (All Sites),,,,,, 2001,Investment Services,188930505,,,, Rents,,,"{u' ft': {u')': u' 1,638'}}",,USD, California,,,,,,,5aacd95d9f9f5d042a8c1774,"25 Cadillac Dr
Sacramento, California, 95825-8349
United States","[[{u'position': u'Genl Ptnr at Stockton Gardens Investment Company', u'industry': u'Investment Services', u'name': u'Don R Holland', u'location': u'Sacramento, California, United States'}]]",
2120 Investors,88k,Private Independent,,, 068547808,06-854-7808,,,2 (This Site) 2 (All Sites),,,,,, 2016,Investment Services,196302195,,,,,,,"{u' ft': {u')': u' 2,499'}}",,USD,,,,,,,,5aacd9739f9f5d042a8c1775,"2120 20Th St
Sacramento, California, 95818-1760
United States",,
